id,retweet_count,favorite_count
858471635011153920,4679,20952
858107933456039936,2809,15350
857989990357356544,2503,15682
857746408056729600,10254,33390
857393404942143489,1584,5752
857263160327368704,4369,19559
857214891891077121,17,219
857062103051644929,164,0
857029823797047296,3869,18446
856543823941562368,2799,15969
856526610513747968,1816,11592
856330835276025856,648,0
856288084350160898,15,506
856282028240666624,6113,27178
855862651834028034,25,334
855860136149123072,960,4845
855857698524602368,2049,11625
855851453814013952,17483,44764
855818117272018944,5280,26136
855459453768019968,8006,29296
855245323840757760,5818,0
855138241867124737,43,0
854732716440526848,5929,22418
854482394044301312,6722,28817
854365224396361728,4589,18598
854120357044912130,7320,31519
854010172552949760,3087,15986
853760880890318849,5628,28198
853639147608842240,9875,34275
853299958564483072,3487,15293
852936405516943360,1969,0
852912242202992640,1787,8938
852672615818899456,2116,14752
852553447878664193,3430,16138
852311364735569921,9792,32798
852226086759018497,6739,19782
852189679701164033,1568,11339
851861385021730816,19,0
851591660324737024,3437,16114
851464819735769094,6961,24053
851224888060895234,5658,20538
850753642995093505,9044,30646
850380195714523136,2591,13004
850333567704068097,328,3436
850145622816686080,3769,16241
850019790995546112,4837,20327
849776966551130114,7554,30321
849668094696017920,4916,0
849412302885593088,3137,15807
849336543269576704,1892,11365
849051919805034497,8418,42195
848690551926992896,4289,25121
848324959059550208,4582,24651
848213670039564288,729,8155
848212111729840128,3023,16279
847978865427394560,3242,0
847971574464610304,429,0
847962785489326080,5059,23450
847842811428974592,1326,5426
847617282490613760,417,6969
847606175596138505,3412,18735
847251039262605312,4292,20483
847157206088847362,5836,19861
847116187444137987,3171,21437
846874817362120707,3918,20107
846514051647705089,11546,44652
846505985330044928,3056,14104
846153765933735936,9034,31665
846139713627017216,9992,31088
846042936437604353,2860,16011
845812042753855489,8698,29304
845677943972139009,4795,25237
845397057150107648,1806,7649
845306882940190720,5390,23402
845098359547420673,7652,0
844979544864018432,2564,13675
844973813909606400,3196,15130
844580511645339650,3134,16525
844223788422217728,2205,13690
843981021012017153,2950,15233
843856843873095681,4633,21540
843604394117681152,2750,16957
843235543001513987,6038,21605
842846295480000512,3646,15339
842765311967449089,1287,6780
842535590457499648,3523,18187
842163532590374912,5818,24596
842115215311396866,3042,14051
841833993020538882,15219,0
841680585030541313,7830,25865
841439858740625411,3703,12725
841320156043304961,5524,19915
841314665196081154,4687,15925
841077006473256960,5342,23020
840761248237133825,1780,0
